merge	结合，合并
combine	联合
coordinate	协调
freight	货物
carrier	运输公司
grain	谷物
percent	百分之
rate	比率
vast	巨大的
bulk	大量的（容量，体积）
major	主要的
substantial	大量的
costly	昂贵的
charge	要价
surge	猛涨
rival	相互竞争的
fierce	猛烈的
monopoly	垄断
indignant	愤怒的
indifferent	冷漠的
unlikely 不太可能的
ensure	确保
supervise	监督
function	运转
flourish	繁荣
fortune	前景
heighten	提高
relief	减免
consume	消耗
determine	确定
captive	受控制的
appeal	呼吁，上诉
federal	联邦的
option	选择
shoulder	肩负，承担
judge	裁判员
represent	作为...代表
earn	赚得
invest	投资
acquisition	收购

超纲词：
railroad	铁路
consolidation	合并
discrimination	歧视
coordination	协作
coordinator	协调者
apprehensive	忧虑的
