intellect   才智
athlete 运动员
entertainer 演艺人员
entrepreneur    企业家
scholar 学者
practical   实用的
education   教育
pursue  追求
knowledge   知识
for the sake of sth 为获得某物
symptom 征兆
pervasive   普遍的
society 社会
intellectual    才智的
counterbalance  平衡抵消物
trace   追溯
root    根源
conclude    得出结论
anything but    根本不
distaste    厌恶
reject  拒绝
vulnerable  易受伤的
exploitation    利用（剥削）
critically  批评性地
defend  为...辩护
participate in  参与
democracy   民主
second-rate 二流的
civil   公民的
resent  憎恨
privilege   特权
historian   历史学家
religion    宗教
populist    民粹主义的
urge    强烈的欲望
drive   驱使
elitism 精英主义
practicality    实用性
common sense    常识
native  与生俱来的
intelligence    智力
noble   高尚的
philosopher 哲学家
schooling   学校教育
rigorous    严格的
restraint   限制
shut...up in... 把...关在...
recitation  背诵
bellyful    一肚子
exemplify   作为...的例证
civilize    教化
innate  天生的
admire  赞赏
critical    批判的
contemplative   沉思的
grasp   理解
manipulate  （熟练地）操作
adjust  调节
examine 审查
ponder  深思
theorize    从理论上说明
mistrust    怀疑
proclaim    明确表示
hostility   敌意
identify with sb    认同某人
promise 前途

acquire 学到
independently   独立地
profound    知识渊博的
confidence  信心
undervalue  轻视
favor   赞成
suppress    抑制
identical   相同的
similar 相似的
complementary   互补的
opposite    相反的
pioneer 先驱
opponent    反对者
advocate    倡导者
evolve  演变，进化
underlie    是...的基础
