thoroughly  彻底地
intellectual    知识分子
minister    牧师
philosophy  哲学
colonial    殖民地的
attach importance to sth    重视某物
preoccupation   当务之急
unfold  发展
Puritan 清教徒的
theological 神学的
distinctive 独特的
church  教会
neglect 忽视
in keeping with...  与...一致
original    最初的
carrier 携带者
adjust  适应
circumstance    环境
colony  殖民地
scene   情景
episode 事件
civility    礼貌
virtuosity  精湛技艺
settler 移民
impressive  不俗的
or so   大约
learned 知识渊博的
educated    受过教育的
the Crown   王国政府
journey 旅行
audience    观众
atmosphere  氛围
craftsman   工匠
let alone   更不用说
dependent   依靠的
servant 佣人
composition 作品
intellectualize 使理智化
superstitious   迷信的
quality 特征
emigrate    移民
account 描述
confusion   困惑
frustration 挫折
settle  定居，解决
fate    命运
wonder  想知道
sermon  说教
slight  轻微的
clergyman   牧师
confront    面对
mock    嘲弄
endeavor    活动

liberal 自由的
comparatively   相对地
be obsessed with... 对...痴迷
affairs 事物
abandon 放弃
superstition    迷信
frustrated  沮丧的
engaged 从事于
motivate    激励
illusory    虚幻的
prospect    前景
