outbreak    爆发
swine flu   猪流感
detect  发现
declare 宣布
epidemic    传染病
worldwide   全世界的
alert   警惕
expert  专家
assemble    聚集
case    病例
severity    严重
overwhelming    压倒性的
majority    大多数
patient 病人
mild    轻微的
symptom 症状
recovery    恢复
medical 医疗的
treatment   治疗
authority   当局
hospitalization 住院
shut down   停业
southwestern    西南部的
fade    逐渐消失
virtually   几乎
seasonal    季节性的
federal 联邦的
stockpile   储备物资
vaccine 疫苗
nasal   鼻的
spray   喷雾
pregnant    怀孕的
vaccinate   使接种疫苗
infant  婴儿

criticize   批评
appoint 任命
proceed 继续做，前进
activate    激活
follow  在...后发生
prompt  导致
digit   数字
amount  数量
sum 总数
moderate    中等的
normal  正常的
extreme 严重的，极端的
progress    进步，进程
presence    存在
phenomenon  现象
concept 概念
notice  注意
crop up 突然发生
excessive   过度的
enormous    极大的
magnificent 宏伟的
category    种类
pattern 模式
sample  样本
impart  通知
immerse 使沉浸于
inject  注射
infect  使感染
release 发放
relay   接替，转播
relieve 解除
remain  仍然是
available   可用的
applicable  适用的
prevalent   流行的
principal   主要的
innovative  创新的
initial 最初的
restrict    限制
recommend   推荐
introduce   引进
agony   极度痛苦
sufferings  痛苦
